flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.4,10.1.2.2,17,1133,0,176748,0,0,0,859,0.431225,0,0,0
2,10.1.1.6,10.1.2.2,17,1485,0,231660,0,0,0,1121,0.430161,0,0,0
3,10.1.1.1,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
4,10.1.1.2,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
5,10.1.1.3,10.1.2.2,17,24414,3043,25683528,3201236,1167.44,8.77752,18319,0.428685,1524.46,16.7993,1
6,10.1.1.5,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
7,10.1.1.7,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
8,10.1.1.8,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
9,10.1.1.10,10.1.2.2,17,24414,951,25683528,1000452,325.325,2.13884,20411,0.455349,509.191,15.7183,1
10,10.1.1.11,10.1.2.2,17,24414,2500,25683528,2630000,886.9,13.5912,18862,0.435854,1329.78,15.8222,1
11,10.1.1.12,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
12,10.1.1.13,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
13,10.1.1.17,10.1.2.2,17,24414,10659,25683528,11213268,214.981,28.6752,10703,0.304781,5126.69,17.4979,1
14,10.1.1.19,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
15,10.1.1.20,10.1.2.2,17,24414,0,25683528,0,0,0,21362,0.466664,0,0,1
16,10.1.1.9,10.1.2.2,17,1637,0,255372,0,0,0,1263,0.435517,0,0,0
17,10.1.1.14,10.1.2.2,17,1596,0,248976,0,0,0,1250,0.439213,0,0,0
18,10.1.1.15,10.1.2.2,17,1561,0,243516,0,0,0,1220,0.438691,0,0,0
19,10.1.1.16,10.1.2.2,17,1369,0,213564,0,0,0,1027,0.428631,0,0,0
20,10.1.1.18,10.1.2.2,17,1232,0,192192,0,0,0,1067,0.464115,0,0,0
